blur_size,noise_level,HOG,PCA,accuracy,f1,precision,recall,f1_immune,precision_immune,recall_immune,f1_other,precision_other,recall_other,f1_stromal,precision_stromal,recall_stromal,f1_tumour,precision_tumour,recall_tumour,confidence_overall,confidence_immune_avg,confidence_immune_std,confidence_other_avg,confidence_other_std,confidence_stromal_avg,confidence_stromal_std,confidence_tumour_avg,confidence_tumour_std,count_pred_immune,count_pred_other,count_pred_stromal,count_pred_tumour,confusion_matrix
0,0,False,False,0.52325,0.5118890800600799,0.5123190516613934,0.52325,0.5934409161894847,0.6188925081433225,0.57,0.30282485875706217,0.34805194805194806,0.268,0.5098445595854922,0.5290322580645161,0.492,0.6414459857082808,0.5532994923857868,0.763,0.42653499999999994,0.36866449511400656,0.05578438140248975,0.35224675324675325,0.04882267299676967,0.4936451612903226,0.14914070322452996,0.4614068165337202,0.1264379819883464,921,770,930,1379,"[[570, 135, 122, 173], [165, 268, 283, 284], [138, 211, 492, 159], [48, 156, 33, 763]]"
0,0,False,True,0.515,0.4998614642189366,0.5142850672562482,0.515,0.5725149375339489,0.6266349583828775,0.527,0.30965391621129323,0.3941267387944359,0.255,0.512273212379936,0.5491990846681922,0.48,0.6050037907505686,0.48717948717948717,0.798,0.4287425,0.4473246135552913,0.0968829317983305,0.3638485316846986,0.04937189966170756,0.5093821510297484,0.1538218915717889,0.40180708180708186,0.0639236563788548,841,647,874,1638,"[[527, 108, 102, 263], [129, 255, 259, 357], [116, 184, 480, 220], [69, 100, 33, 798]]"
0,0,True,False,0.39175,0.3864014284983023,0.38371366812815344,0.39175000000000004,0.5014084507042254,0.4725663716814159,0.534,0.2861651762230405,0.3018867924528302,0.272,0.30439442658092175,0.3279445727482679,0.284,0.4536376604850214,0.43245693563009974,0.477,0.3193075,0.3215840707964602,0.03813186846035968,0.3101331853496115,0.02802377335772931,0.318972286374134,0.04069524736442745,0.3247325475974614,0.03705985090356932,1130,901,866,1103,"[[534, 190, 157, 119], [254, 272, 239, 235], [222, 222, 284, 272], [120, 217, 186, 477]]"
0,0,False,False,0.52325,0.5118890800600799,0.5123190516613934,0.52325,0.5934409161894847,0.6188925081433225,0.57,0.30282485875706217,0.34805194805194806,0.268,0.5098445595854922,0.5290322580645161,0.492,0.6414459857082808,0.5532994923857868,0.763,0.42653499999999994,0.36866449511400656,0.05578438140248975,0.35224675324675325,0.04882267299676967,0.4936451612903226,0.14914070322452996,0.4614068165337202,0.1264379819883464,921,770,930,1379,"[[570, 135, 122, 173], [165, 268, 283, 284], [138, 211, 492, 159], [48, 156, 33, 763]]"
0,0,False,True,0.515,0.4998614642189366,0.5142850672562482,0.515,0.5725149375339489,0.6266349583828775,0.527,0.30965391621129323,0.3941267387944359,0.255,0.512273212379936,0.5491990846681922,0.48,0.6050037907505686,0.48717948717948717,0.798,0.4287425,0.4473246135552913,0.0968829317983305,0.3638485316846986,0.04937189966170756,0.5093821510297484,0.1538218915717889,0.40180708180708186,0.0639236563788548,841,647,874,1638,"[[527, 108, 102, 263], [129, 255, 259, 357], [116, 184, 480, 220], [69, 100, 33, 798]]"
0,0,True,False,0.39175,0.3864014284983023,0.38371366812815344,0.39175000000000004,0.5014084507042254,0.4725663716814159,0.534,0.2861651762230405,0.3018867924528302,0.272,0.30439442658092175,0.3279445727482679,0.284,0.4536376604850214,0.43245693563009974,0.477,0.3193075,0.3215840707964602,0.03813186846035968,0.3101331853496115,0.02802377335772931,0.318972286374134,0.04069524736442745,0.3247325475974614,0.03705985090356932,1130,901,866,1103,"[[534, 190, 157, 119], [254, 272, 239, 235], [222, 222, 284, 272], [120, 217, 186, 477]]"
1,0,False,False,0.52125,0.5080329219322053,0.5147677249147039,0.52125,0.5731639977912756,0.6399506781750924,0.519,0.2995997712978845,0.34979973297730305,0.262,0.518824136152656,0.5356762513312034,0.503,0.6405437824870052,0.5336442371752165,0.801,0.43712,0.3694327990135635,0.05657223798308317,0.354539385847797,0.048175886141277324,0.5005324813631523,0.1539951929298234,0.47522984676882074,0.13401364618451134,811,749,939,1501,"[[519, 143, 129, 209], [139, 262, 278, 321], [121, 206, 503, 170], [32, 138, 29, 801]]"
1,0,False,True,0.51675,0.5023802628948554,0.5182475638503379,0.51675,0.5740540540540541,0.6247058823529412,0.531,0.3196125907990315,0.4049079754601227,0.264,0.5148729042725798,0.5606595995288575,0.476,0.6009815024537561,0.48271679805942996,0.796,0.42997,0.4478,0.09682237223238171,0.3633588957055215,0.04927610980539698,0.5134864546525324,0.15401222204658738,0.4041176470588235,0.06413836797498984,850,652,849,1649,"[[531, 105, 104, 260], [128, 264, 238, 370], [116, 185, 476, 223], [75, 98, 31, 796]]"
1,0,True,False,0.33775,0.30646583348739204,0.3547215669911553,0.33775,0.4576744186046512,0.33168539325842694,0.738,0.24363233665559247,0.2729528535980149,0.22,0.2968553459119497,0.4,0.236,0.22770123277737492,0.41424802110817943,0.157,0.32264499999999996,0.3311191011235955,0.040329616285725046,0.3103473945409429,0.028859691585713474,0.31489830508474576,0.04365783557732511,0.31110817941952507,0.031703381400096715,2225,806,590,379,"[[738, 137, 86, 39], [550, 220, 155, 75], [425, 231, 236, 108], [512, 218, 113, 157]]"
3,0,False,False,0.49325,0.47214404245441427,0.5160037685426294,0.49324999999999997,0.47019423978566643,0.7119675456389453,0.351,0.29369797859690844,0.3621700879765396,0.247,0.5191146881287726,0.5222672064777328,0.516,0.6055692633063094,0.46761023407729996,0.859,0.49107999999999996,0.3616227180527383,0.062023057702195204,0.36233137829912027,0.05440147688212699,0.5349999999999999,0.17033041241279417,0.55,0.1621880196836555,493,682,988,1837,"[[351, 133, 152, 364], [68, 247, 299, 386], [62, 194, 516, 228], [12, 108, 21, 859]]"
