test_set,blur_size,noise_level,accuracy,f1,precision_overall,recall_overall,precision_immune,precision_other,precision_stromal,precision_tumour,recall_immune,recall_other,recall_stromal,recall_tumour,f1_immune,f1_other,f1_stromal,f1_tumour,confidence_overall,confidence_immune_avg,confidence_other_avg,confidence_stromal_avg,confidence_tumour_avg,confidence_immune_std,confidence_other_std,confidence_stromal_std,confidence_tumour_std,count_pred_immune,count_pred_other,count_pred_stromal,count_pred_tumour,confusion_matrix
1,7,10,0.2475,0.1272223069251745,0.1139557717117055,0.2475,0.2036082474226804,0.0,0.2522148394241417,0.0,0.079,0.0,0.911,0.0,0.1138328530259366,0.0,0.3950563746747615,0.0,0.73676074,0.58793646,0.0,0.7527475,0.0,0.0723561,0.0,0.1158813,0.0,388,0,3612,0,"[[79, 0, 921, 0], [86, 0, 914, 0], [89, 0, 911, 0], [134, 0, 866, 0]]"
1,9,10,0.24875,0.1312957740135893,0.1226293974784301,0.24875,0.2409326424870466,0.0,0.249584947426674,0.0,0.093,0.0,0.902,0.0,0.1341991341991342,0.0,0.3909839618552232,0.0,0.73922366,0.599922,0.0,0.75410205,0.0,0.08082736,0.0,0.1144937,0.0,386,0,3614,0,"[[93, 0, 907, 0], [89, 0, 911, 0], [98, 0, 902, 0], [106, 0, 894, 0]]"
1,19,10,0.2495,0.1322340077862215,0.1176769449510248,0.2495,0.2171945701357466,0.0,0.253513209668353,0.0,0.096,0.0,0.902,0.0,0.1331484049930651,0.0,0.3957876261518209,0.0,0.73124164,0.5986206,0.0,0.74771667,0.0,0.07740365,0.0,0.1147728,0.0,442,0,3558,0,"[[96, 0, 904, 0], [113, 0, 887, 0], [98, 0, 902, 0], [135, 0, 865, 0]]"
1,0,20,0.2565,0.1674541271327182,0.1275510204081632,0.2565,0.25,0.0,0.2602040816326531,0.0,0.363,0.0,0.663,0.0,0.2960848287112561,0.0,0.3737316798196167,0.0,0.7454196,0.70577824,0.0,0.76800954,0.0,0.1317167,0.0,0.1398716,0.0,1452,0,2548,0,"[[363, 0, 637, 0], [382, 0, 618, 0], [337, 0, 663, 0], [370, 0, 630, 0]]"
1,1,20,0.25075,0.1628830822706234,0.1245533006771064,0.25075,0.2437095614665708,0.0,0.2545036412418551,0.0,0.339,0.0,0.664,0.0,0.2835633626097867,0.0,0.3679689664727071,0.0,0.74521214,0.7119679,0.0,0.76293653,0.0,0.13019092,0.0,0.13796693,0.0,1391,0,2609,0,"[[339, 0, 661, 0], [344, 0, 656, 0], [336, 0, 664, 0], [372, 0, 628, 0]]"
1,3,20,0.25325,0.1663832940170524,0.1270417425313079,0.25325,0.2571819425444596,0.0,0.2509850275807722,0.0,0.376,0.0,0.637,0.0,0.3054427294882209,0.0,0.3600904465799887,0.0,0.7432868,0.70765126,0.0,0.7638145,0.0,0.13379735,0.0,0.13867676,0.0,1462,0,2538,0,"[[376, 0, 624, 0], [348, 0, 652, 0], [363, 0, 637, 0], [375, 0, 625, 0]]"
1,5,20,0.25725,0.1669556762772783,0.1275157841937239,0.25725,0.2476735862562634,0.0,0.2623895505186323,0.0,0.346,0.0,0.683,0.0,0.2886942010846892,0.0,0.3791285040244241,0.0,0.74613976,0.70979536,0.0,0.7656455,0.0,0.13056867,0.0,0.13830954,0.0,1397,0,2603,0,"[[346, 0, 654, 0], [343, 0, 657, 0], [317, 0, 683, 0], [391, 0, 609, 0]]"
1,7,20,0.26075,0.1704704318233475,0.1302899279374432,0.26075,0.2599859845830413,0.0,0.2611737271667314,0.0,0.371,0.0,0.672,0.0,0.3057272352698805,0.0,0.3761544920235096,0.0,0.749682,0.7130117,0.0,0.77001953,0.0,0.12995994,0.0,0.13634859,0.0,1427,0,2573,0,"[[371, 0, 629, 0], [349, 0, 651, 0], [328, 0, 672, 0], [379, 0, 621, 0]]"
1,9,20,0.24725,0.1606580903966525,0.1223402084297025,0.24725,0.2356643356643356,0.0,0.2536964980544747,0.0,0.337,0.0,0.652,0.0,0.2773662551440329,0.0,0.365266106442577,0.0,0.746574,0.70579636,0.0,0.7692634,0.0,0.12858538,0.0,0.13820533,0.0,1430,0,2570,0,"[[337, 0, 663, 0], [358, 0, 642, 0], [348, 0, 652, 0], [387, 0, 613, 0]]"
1,19,20,0.24825,0.1626145527859237,0.123747854997855,0.24825,0.2445945945945946,0.0,0.2503968253968254,0.0,0.362,0.0,0.631,0.0,0.2919354838709677,0.0,0.3585227272727272,0.0,0.74477625,0.7135603,0.0,0.7631094,0.0,0.135051,0.0,0.13731429,0.0,1480,0,2520,0,"[[362, 0, 638, 0], [362, 0, 638, 0], [369, 0, 631, 0], [387, 0, 613, 0]]"
1,0,30,0.24975,0.1664703592248364,0.1248646439996488,0.24975,0.2506106497313141,0.0,0.2488479262672811,0.0,0.513,0.0,0.486,0.0,0.3367246471939613,0.0,0.3291567897053843,0.0,0.7855973,0.78888077,0.0,0.7821559,0.0,0.1486575,0.0,0.14985178,0.0,2047,0,1953,0,"[[513, 0, 487, 0], [514, 0, 486, 0], [514, 0, 486, 0], [506, 0, 494, 0]]"
1,1,30,0.257,0.1711115470382368,0.1283872191001725,0.257,0.2607666824420255,0.0,0.2527821939586645,0.0,0.551,0.0,0.477,0.0,0.3539993575329264,0.0,0.3304468306200208,0.0,0.7893595,0.79283285,0.0,0.78547025,0.0,0.14768349,0.0,0.14425156,0.0,2113,0,1887,0,"[[551, 0, 449, 0], [516, 0, 484, 0], [523, 0, 477, 0], [523, 0, 477, 0]]"
1,3,30,0.2515,0.1675945792709363,0.1257202573152111,0.2515,0.2531400966183575,0.0,0.249740932642487,0.0,0.524,0.0,0.482,0.0,0.3413680781758957,0.0,0.3290102389078498,0.0,0.78631496,0.7911693,0.0,0.78110856,0.0,0.14550225,0.0,0.15119319,0.0,2070,0,1930,0,"[[524, 0, 476, 0], [496, 0, 504, 0], [518, 0, 482, 0], [532, 0, 468, 0]]"
1,5,30,0.2555,0.1703659188034188,0.1279405861099959,0.2555,0.2495283018867924,0.0,0.2622340425531915,0.0,0.529,0.0,0.493,0.0,0.3391025641025641,0.0,0.3423611111111111,0.0,0.7853501,0.7907717,0.0,0.7792363,0.0,0.14613657,0.0,0.14843282,0.0,2120,0,1880,0,"[[529, 0, 471, 0], [556, 0, 444, 0], [507, 0, 493, 0], [528, 0, 472, 0]]"
1,7,30,0.25275,0.1685102654782288,0.1264002036659877,0.25275,0.25,0.0,0.2556008146639511,0.0,0.509,0.0,0.502,0.0,0.3353096179183136,0.0,0.3387314439946018,0.0,0.78386474,0.7887964,0.0,0.7787524,0.0,0.1484161,0.0,0.14734983,0.0,2036,0,1964,0,"[[509, 0, 491, 0], [496, 0, 504, 0], [498, 0, 502, 0], [533, 0, 467, 0]]"
1,9,30,0.24775,0.1651751834260967,0.1239147088227317,0.24775,0.244888023369036,0.0,0.250770811921891,0.0,0.503,0.0,0.488,0.0,0.3294040602488539,0.0,0.3312966734555329,0.0,0.78959805,0.7930878,0.0,0.7859146,0.0,0.14731178,0.0,0.14704412,0.0,2054,0,1946,0,"[[503, 0, 497, 0], [503, 0, 497, 0], [512, 0, 488, 0], [536, 0, 464, 0]]"
1,19,30,0.25475,0.1698363794272963,0.1274704354490497,0.25475,0.2508361204013378,0.0,0.259045621394861,0.0,0.525,0.0,0.494,0.0,0.3394762366634336,0.0,0.3398692810457516,0.0,0.78754115,0.7934163,0.0,0.7810928,0.0,0.14511356,0.0,0.1476093,0.0,2093,0,1907,0,"[[525, 0, 475, 0], [524, 0, 476, 0], [506, 0, 494, 0], [538, 0, 462, 0]]"
