blur_size,noise_level,accuracy,f1,precision,recall,f1_immune,precision_immune,recall_immune,f1_other,precision_other,recall_other,f1_stromal,precision_stromal,recall_stromal,f1_tumour,precision_tumour,recall_tumour,confidence_overall,confidence_immune_avg,confidence_immune_std,confidence_other_avg,confidence_other_std,confidence_stromal_avg,confidence_stromal_std,confidence_tumour_avg,confidence_tumour_std,count_pred_immune,count_pred_other,count_pred_stromal,count_pred_tumour,confusion_matrix
0,0,0.515,0.4998614642189366,0.5142850672562482,0.515,0.5725149375339489,0.6266349583828775,0.527,0.30965391621129323,0.3941267387944359,0.255,0.512273212379936,0.5491990846681922,0.48,0.6050037907505686,0.48717948717948717,0.798,0.4287425,0.4473246135552913,0.0968829317983305,0.3638485316846986,0.04937189966170756,0.5093821510297484,0.1538218915717889,0.40180708180708186,0.0639236563788548,841,647,874,1638,"[[527, 108, 102, 263], [129, 255, 259, 357], [116, 184, 480, 220], [69, 100, 33, 798]]"
1,0,0.51675,0.5023802628948554,0.5182475638503379,0.51675,0.5740540540540541,0.6247058823529412,0.531,0.3196125907990315,0.4049079754601227,0.264,0.5148729042725798,0.5606595995288575,0.476,0.6009815024537561,0.48271679805942996,0.796,0.42997,0.4478,0.09682237223238171,0.3633588957055215,0.04927610980539698,0.5134864546525324,0.15401222204658738,0.4041176470588235,0.06413836797498984,850,652,849,1649,"[[531, 105, 104, 260], [128, 264, 238, 370], [116, 185, 476, 223], [75, 98, 31, 796]]"
3,0,0.51325,0.49743527174909197,0.5162557719126407,0.51325,0.5653912050256996,0.6591211717709721,0.495,0.3010359536867764,0.38533541341653665,0.247,0.516597510373444,0.5366379310344828,0.498,0.6067164179104477,0.48392857142857143,0.813,0.43751750000000006,0.4552996005326232,0.09439912707708861,0.3658346333853354,0.050953137919731245,0.518760775862069,0.15479085894584066,0.4120416666666667,0.06744440869255872,751,641,928,1680,"[[495, 124, 104, 277], [104, 247, 286, 363], [94, 181, 498, 227], [58, 89, 40, 813]]"
5,0,0.51275,0.4957523280896947,0.520917141167131,0.51275,0.5475469412477286,0.6943164362519201,0.452,0.29321930360415394,0.37676609105180536,0.24,0.5314823996033713,0.5270403146509341,0.536,0.610760667903525,0.4855457227138643,0.823,0.4520025,0.4602304147465438,0.09378428559169563,0.37021978021978025,0.05208026094870732,0.5336086529006884,0.15852024751751193,0.43061356932153394,0.07478962387572445,651,637,1017,1695,"[[452, 130, 121, 297], [87, 240, 314, 359], [73, 175, 536, 216], [39, 92, 46, 823]]"
7,0,0.5085,0.48605730354256,0.5229030457575421,0.5085,0.5345268542199488,0.7411347517730497,0.418,0.2592352559948153,0.3683241252302026,0.2,0.5421245421245421,0.5,0.592,0.6083425618309339,0.4821533060269163,0.824,0.47009500000000004,0.45746453900709216,0.09476804727898097,0.37500920810313076,0.05399295626183322,0.549543918918919,0.1617523176350736,0.4494324166179052,0.0819458692021597,564,543,1184,1709,"[[418, 114, 159, 309], [68, 200, 371, 361], [51, 142, 592, 215], [27, 87, 62, 824]]"
9,0,0.496,0.46608921413436155,0.5200779476102091,0.496,0.49693669162695714,0.7782515991471215,0.365,0.22373806275579808,0.351931330472103,0.164,0.5413598960589,0.4774637127578304,0.625,0.602322206095791,0.47266514806378135,0.83,0.48889250000000006,0.4575479744136461,0.09004239904601034,0.3800643776824035,0.05131945871342051,0.5752406417112299,0.16259274651924974,0.46177676537585427,0.08996916863712116,469,466,1309,1756,"[[365, 112, 196, 327], [50, 164, 409, 377], [38, 115, 625, 222], [16, 75, 79, 830]]"
19,0,0.466,0.40135149958914973,0.5258591569873061,0.466,0.4006092916984006,0.8402555910543131,0.263,0.08540925266903915,0.3870967741935484,0.048,0.522372528616025,0.39989378651088686,0.753,0.5970149253731343,0.47619047619047616,0.8,0.5484125,0.4384025559105432,0.07942286385778011,0.35830645161290325,0.05589047143374592,0.6283271375464683,0.18127452017307458,0.49336904761904754,0.10136488541073317,313,124,1883,1680,"[[263, 23, 384, 330], [28, 48, 578, 346], [19, 24, 753, 204], [3, 29, 168, 800]]"
0,1,0.514,0.498456227542385,0.5133208894412131,0.514,0.5744794447410572,0.6162657502863689,0.538,0.3089133089133089,0.39655172413793105,0.253,0.508695652173913,0.5571428571428572,0.468,0.6017365043412608,0.4833232261976956,0.797,0.42993000000000003,0.44895761741122564,0.09689540085951105,0.3625548589341693,0.048211517698296985,0.5140952380952382,0.15359312508234982,0.40305033353547604,0.06403245852127883,873,638,840,1649,"[[538, 104, 100, 258], [135, 253, 242, 370], [120, 188, 468, 224], [80, 93, 30, 797]]"
0,3,0.5145,0.49914426385159055,0.5146768049856221,0.5145,0.5717344753747323,0.6152073732718893,0.534,0.3108935128518972,0.40063091482649843,0.254,0.5140997830802603,0.5616113744075829,0.474,0.5998492840994725,0.48125755743651755,0.796,0.429815,0.4498387096774194,0.09664759384263062,0.3624763406940063,0.048799663615068746,0.5125947867298578,0.15324923717004585,0.4028778718258766,0.06377248201204275,868,634,844,1654,"[[534, 105, 101, 260], [132, 254, 241, 373], [123, 178, 474, 225], [79, 97, 28, 796]]"
0,5,0.51325,0.49796122416602306,0.5133493582928924,0.51325,0.5709711846318036,0.6121281464530892,0.535,0.31203931203931207,0.40445859872611467,0.254,0.5116279069767442,0.5571260306242638,0.473,0.5972064930162325,0.4796846573681019,0.791,0.4297925,0.44860411899313507,0.09671549388019106,0.3622133757961783,0.04874578877194321,0.5118256772673734,0.15295622521441885,0.4033232261976955,0.06374405272172702,874,628,849,1649,"[[535, 103, 102, 260], [135, 254, 242, 369], [119, 179, 473, 229], [85, 92, 32, 791]]"
