blur_size,noise_level,Model_Label,accuracy,f1,precision,recall,f1_immune,precision_immune,recall_immune,f1_other,precision_other,recall_other,f1_stromal,precision_stromal,recall_stromal,f1_tumour,precision_tumour,recall_tumour,confidence_overall,confidence_immune_avg,confidence_immune_std,confidence_other_avg,confidence_other_std,confidence_stromal_avg,confidence_stromal_std,confidence_tumour_avg,confidence_tumour_std,count_pred_immune,count_pred_other,count_pred_stromal,count_pred_tumour,test_set,confusion_matrix
1,30,RF (PCA),0.48875,0.4660001377695514,0.4786964456431858,0.48875,0.547783251231527,0.5398058252427185,0.556,0.2338177014531043,0.3443579766536965,0.177,0.5033333333333333,0.56625,0.453,0.579066265060241,0.4643719806763285,0.769,0.4375675,0.4559029126213592,0.0965276271698969,0.3610311284046692,0.0503789820518323,0.5208125,0.1469497017477408,0.4097041062801932,0.0649970038889442,1030.0,514.0,800.0,1656.0,1.0,"[[556, 86, 76, 282], [188, 177, 251, 384], [158, 168, 453, 221], [128, 83, 20, 769]]"
1,30,ResNet,0.25675,0.1709912443493219,0.1283242200621075,0.25675,0.3509785049727302,0.2583845063769485,0.547,0.0,0.0,0.0,0.3329864724245577,0.2549123738714817,0.48,0.0,0.0,0.0,0.79008496,0.79246885,0.14785394,,,0.78740484,0.14257394,,,2117.0,0.0,1883.0,0.0,1.0,"[[547, 0, 453, 0], [533, 0, 467, 0], [520, 0, 480, 0], [517, 0, 483, 0]]"
1,30,XGBoost (PCA),0.59125,0.5763366266381764,0.5914441332193981,0.59125,0.6376376376376376,0.6382765531062125,0.637,0.4005069708491762,0.5467128027681661,0.316,0.5976054138469548,0.6232356134636265,0.574,0.6695964842189372,0.5575515635395875,0.838,0.5197615,0.5962976,0.17614782,0.42547455,0.0772235,0.54299814,0.13184334,0.4909616,0.12396248,998.0,578.0,921.0,1503.0,1.0,"[[637, 78, 92, 193], [151, 316, 232, 301], [121, 134, 574, 171], [89, 50, 23, 838]]"
3,0,CNN,0.5115,0.455574046715446,0.4689368918844526,0.5115,0.603060306030603,0.5482815057283142,0.67,0.0988654781199351,0.2606837606837607,0.061,0.4823597455176402,0.5720164609053497,0.417,0.6380106571936057,0.4947658402203856,0.898,0.62796867,0.6451225,0.18914375,0.5724777,0.15256718,0.5748435,0.119168535,0.6449115,0.1418333,1222.0,234.0,729.0,1815.0,1.0,"[[670, 60, 45, 225], [260, 61, 260, 419], [275, 35, 417, 273], [17, 78, 7, 898]]"
3,0,RF (PCA),0.492,0.4746278598570935,0.4917594615398356,0.492,0.5296803652968036,0.6170212765957447,0.464,0.2682323856613102,0.3511326860841424,0.217,0.516028955532575,0.5342612419700214,0.499,0.5845697329376854,0.4646226415094339,0.788,0.43965,0.4486436170212766,0.0968082147236534,0.3646601941747573,0.0514479446090224,0.5242291220556745,0.1588401313641404,0.4164091981132075,0.0688347762749954,752.0,618.0,934.0,1696.0,1.0,"[[464, 113, 107, 316], [109, 217, 300, 374], [108, 175, 499, 218], [71, 113, 28, 788]]"
3,0,ResNet,0.547,0.5250854629449095,0.694073714017516,0.547,0.5440729483282675,0.3908296943231441,0.895,0.4860724233983287,0.8004587155963303,0.349,0.3569721115537849,0.8784313725490196,0.224,0.7132243684992571,0.7065750736015701,0.72,0.6991098,0.72768307,0.17568082,0.6098385,0.14810942,0.5877579,0.1292309,0.7009588,0.1649567,2290.0,436.0,255.0,1019.0,1.0,"[[895, 26, 16, 63], [491, 349, 13, 147], [640, 47, 224, 89], [264, 14, 2, 720]]"
3,0,XGBoost (PCA),0.59425,0.5814390380119341,0.6064047538792282,0.59425,0.6194379391100703,0.7471751412429378,0.529,0.4150030248033878,0.5252679938744257,0.343,0.6190009794319294,0.6065259117082533,0.632,0.6723142087023488,0.5466499686912962,0.873,0.521698,0.58895886,0.16503236,0.44032973,0.085832775,0.5633745,0.13507724,0.4979572,0.124535315,708.0,653.0,1042.0,1597.0,1.0,"[[529, 116, 119, 236], [85, 343, 256, 316], [64, 132, 632, 172], [30, 62, 35, 873]]"
3,1,CNN,0.509,0.4588288437789216,0.4737519158667294,0.509,0.6041767848470131,0.5873465533522191,0.622,0.110759493670886,0.2651515151515151,0.07,0.4988789237668161,0.5676020408163265,0.445,0.6215001728309714,0.4749075541468568,0.899,0.6337894,0.64408433,0.18627271,0.5755389,0.15722698,0.5924472,0.12737589,0.6532761,0.14692655,1059.0,264.0,784.0,1893.0,1.0,"[[622, 70, 59, 249], [209, 70, 271, 450], [217, 43, 445, 295], [11, 81, 9, 899]]"
3,1,RF (PCA),0.49175,0.4729979234238979,0.4914103403738644,0.49175,0.5337078651685393,0.6089743589743589,0.475,0.2645569620253165,0.3603448275862069,0.209,0.512041884816754,0.5373626373626373,0.489,0.5816849816849817,0.4589595375722543,0.794,0.440945,0.4501538461538462,0.0970565625362909,0.3664137931034482,0.0519572219542054,0.5261538461538461,0.1588369073752941,0.4169595375722543,0.0687115406568601,780.0,580.0,910.0,1730.0,1.0,"[[475, 102, 103, 320], [111, 209, 293, 387], [117, 165, 489, 229], [77, 104, 25, 794]]"
3,1,ResNet,0.294,0.1808126535502261,0.1586647523578997,0.294,0.2914218566392479,0.3532763532763532,0.248,0.0,0.0,0.0,0.4318287575616565,0.2813826561552456,0.928,0.0,0.0,0.0,0.65038157,0.5841594,0.07858973,,,0.6644774,0.10047935,,,702.0,0.0,3298.0,0.0,1.0,"[[248, 0, 752, 0], [131, 0, 869, 0], [72, 0, 928, 0], [251, 0, 749, 0]]"
3,1,XGBoost (PCA),0.5915,0.5782194300787821,0.6020693300611936,0.5915,0.6232718894009217,0.7350543478260869,0.541,0.4058679706601467,0.5220125786163522,0.332,0.615536862939139,0.6092066601371204,0.622,0.6682009973149213,0.5420037336652147,0.871,0.5221463,0.5891027,0.16550252,0.43984687,0.084461085,0.5601252,0.13557036,0.4999223,0.12463366,736.0,636.0,1021.0,1607.0,1.0,"[[541, 113, 117, 229], [89, 332, 250, 329], [69, 131, 622, 178], [37, 60, 32, 871]]"
3,3,CNN,0.48625,0.4568712100966005,0.4828894169457069,0.48625,0.5352286773794809,0.7006472491909385,0.433,0.1640419947506561,0.2385496183206107,0.125,0.5264750378214826,0.5310274669379451,0.522,0.6017391304347826,0.4613333333333333,0.865,0.639789,0.6057112,0.18031155,0.5842113,0.1639475,0.6455817,0.14955138,0.6635162,0.150621,618.0,524.0,983.0,1875.0,1.0,"[[433, 152, 110, 305], [90, 125, 339, 446], [92, 127, 522, 259], [3, 120, 12, 865]]"
3,3,RF (PCA),0.494,0.4751321738864337,0.4935592161545039,0.494,0.5351320966835301,0.6110397946084724,0.476,0.2664141414141414,0.3613013698630137,0.211,0.5131164742917104,0.5397350993377483,0.489,0.585865983156353,0.4621606008087811,0.8,0.440965,0.4506803594351733,0.0966256052297054,0.3662157534246575,0.0516994875419823,0.5266004415011037,0.15847273760785,0.4169901790872328,0.0686934214774005,779.0,584.0,906.0,1731.0,1.0,"[[476, 102, 103, 319], [111, 211, 290, 388], [117, 170, 489, 224], [75, 101, 24, 800]]"
3,3,ResNet,0.25025,0.1009950248756219,0.1625156445556946,0.25025,0.0039800995024875,0.4,0.002,0.0,0.0,0.0,0.4,0.2500625782227785,0.999,0.0,0.0,0.0,0.78893,0.5431093,0.0261323,,,0.7892376,0.07585759,,,5.0,0.0,3995.0,0.0,1.0,"[[2, 0, 998, 0], [0, 0, 1000, 0], [1, 0, 999, 0], [2, 0, 998, 0]]"
3,3,XGBoost (PCA),0.592,0.5787364784056401,0.6023466768001874,0.592,0.6221966647498562,0.7320703653585927,0.541,0.4080635308491142,0.5243328100470958,0.334,0.6154608523290387,0.6100196463654224,0.621,0.6692248656945511,0.5429638854296388,0.872,0.5222223,0.588701,0.16604824,0.44062045,0.0843239,0.56023955,0.13579088,0.4999004,0.12480613,739.0,637.0,1018.0,1606.0,1.0,"[[541, 112, 117, 230], [92, 334, 247, 327], [70, 132, 621, 177], [36, 59, 33, 872]]"
