blur_size,noise_level,accuracy,f1,precision,recall,f1_immune,precision_immune,recall_immune,f1_other,precision_other,recall_other,f1_stromal,precision_stromal,recall_stromal,f1_tumour,precision_tumour,recall_tumour,confidence_overall,confidence_immune_avg,confidence_immune_std,confidence_other_avg,confidence_other_std,confidence_stromal_avg,confidence_stromal_std,confidence_tumour_avg,confidence_tumour_std,count_pred_immune,count_pred_other,count_pred_stromal,count_pred_tumour,confusion_matrix,test_set,Model_Label
0,0,0.52325,0.5118890800600799,0.5123190516613934,0.52325,0.5934409161894847,0.6188925081433225,0.57,0.3028248587570621,0.348051948051948,0.268,0.5098445595854922,0.5290322580645161,0.492,0.6414459857082808,0.5532994923857868,0.763,0.4265349999999999,0.3686644951140065,0.0557843814024897,0.3522467532467532,0.0488226729967696,0.4936451612903226,0.1491407032245299,0.4614068165337202,0.1264379819883464,921,770,930,1379,"[[570, 135, 122, 173], [165, 268, 283, 284], [138, 211, 492, 159], [48, 156, 33, 763]]",0,RF (pixels)
0,0,0.52325,0.5118890800600799,0.5123190516613934,0.52325,0.5934409161894847,0.6188925081433225,0.57,0.3028248587570621,0.348051948051948,0.268,0.5098445595854922,0.5290322580645161,0.492,0.6414459857082808,0.5532994923857868,0.763,0.4265349999999999,0.3686644951140065,0.0557843814024897,0.3522467532467532,0.0488226729967696,0.4936451612903226,0.1491407032245299,0.4614068165337202,0.1264379819883464,921,770,930,1379,"[[570, 135, 122, 173], [165, 268, 283, 284], [138, 211, 492, 159], [48, 156, 33, 763]]",0,RF (pixels)
1,0,0.52125,0.5080329219322053,0.5147677249147039,0.52125,0.5731639977912756,0.6399506781750924,0.519,0.2995997712978845,0.349799732977303,0.262,0.518824136152656,0.5356762513312034,0.503,0.6405437824870052,0.5336442371752165,0.801,0.43712,0.3694327990135635,0.0565722379830831,0.354539385847797,0.0481758861412773,0.5005324813631523,0.1539951929298234,0.4752298467688207,0.1340136461845113,811,749,939,1501,"[[519, 143, 129, 209], [139, 262, 278, 321], [121, 206, 503, 170], [32, 138, 29, 801]]",0,RF (pixels)
3,0,0.49325,0.4721440424544142,0.5160037685426294,0.4932499999999999,0.4701942397856664,0.7119675456389453,0.351,0.2936979785969084,0.3621700879765396,0.247,0.5191146881287726,0.5222672064777328,0.516,0.6055692633063094,0.4676102340772999,0.859,0.4910799999999999,0.3616227180527383,0.0620230577021952,0.3623313782991202,0.0544014768821269,0.5349999999999999,0.1703304124127941,0.55,0.1621880196836555,493,682,988,1837,"[[351, 133, 152, 364], [68, 247, 299, 386], [62, 194, 516, 228], [12, 108, 21, 859]]",0,RF (pixels)
5,0,0.44875,0.4054516869413321,0.5214788613557606,0.44875,0.2472666105971404,0.7777777777777778,0.147,0.2936979785969084,0.3621700879765396,0.247,0.5165631469979296,0.5354077253218884,0.499,0.56427901157335,0.4105598543468366,0.902,0.5550499999999999,0.3527513227513227,0.0763232235687296,0.3716129032258065,0.0552735904766575,0.5680150214592274,0.1803776075886919,0.6238962221210742,0.189032281934599,189,682,932,2197,"[[147, 170, 148, 535], [16, 247, 263, 474], [25, 190, 499, 286], [1, 75, 22, 902]]",0,RF (pixels)
7,0,0.4185,0.3491977907451046,0.4900465771751067,0.4185,0.0737937559129612,0.6842105263157895,0.039,0.2684729064039409,0.3493589743589743,0.218,0.5082228116710875,0.5412429378531074,0.479,0.5463016889924287,0.3853738701725555,0.938,0.61416,0.3728070175438597,0.1206525297422736,0.3849679487179487,0.0617713857778862,0.5987457627118645,0.1867210608700605,0.6841741988496302,0.1999981410551321,57,624,885,2434,"[[39, 181, 139, 641], [9, 218, 248, 525], [8, 183, 479, 330], [1, 42, 19, 938]]",0,RF (pixels)
9,0,0.4045,0.324842264332656,0.434085526124361,0.4044999999999999,0.019588638589618,0.4761904761904761,0.01,0.2445019404915912,0.3461538461538461,0.189,0.5026910656620022,0.5442890442890443,0.467,0.5325874125874126,0.3697087378640776,0.952,0.6592874999999999,0.4366666666666666,0.177263144004111,0.3973076923076923,0.0636459746358601,0.6327505827505828,0.1897455928486559,0.725495145631068,0.2030711231179762,21,546,858,2575,"[[10, 162, 129, 699], [5, 189, 245, 561], [6, 164, 467, 363], [0, 31, 17, 952]]",0,RF (pixels)
19,0,0.3955,0.3066225499255987,0.342913798929591,0.3954999999999999,0.0019801980198019,0.1,0.001,0.2013225569434239,0.3795013850415512,0.137,0.5071618037135278,0.5401129943502825,0.478,0.5160256410256411,0.3520408163265306,0.966,0.7614200000000001,0.5860000000000001,0.1441665703275207,0.4267313019390582,0.0670126902499641,0.7217966101694915,0.2043671322259814,0.8188702623906705,0.1868919663197384,10,361,885,2744,"[[1, 104, 129, 766], [4, 137, 263, 596], [5, 101, 478, 416], [0, 19, 15, 966]]",0,RF (pixels)
0,0,0.52325,0.5118890800600799,0.5123190516613934,0.52325,0.5934409161894847,0.6188925081433225,0.57,0.3028248587570621,0.348051948051948,0.268,0.5098445595854922,0.5290322580645161,0.492,0.6414459857082808,0.5532994923857868,0.763,0.4265349999999999,0.3686644951140065,0.0557843814024897,0.3522467532467532,0.0488226729967696,0.4936451612903226,0.1491407032245299,0.4614068165337202,0.1264379819883464,921,770,930,1379,"[[570, 135, 122, 173], [165, 268, 283, 284], [138, 211, 492, 159], [48, 156, 33, 763]]",0,RF (pixels)
0,1,0.5235,0.5102114014580463,0.5118629829908292,0.5235000000000001,0.5947916666666667,0.6206521739130435,0.571,0.2955326460481099,0.3458445040214477,0.258,0.5060494476591267,0.5338512763596004,0.481,0.644471845458282,0.5471039776692254,0.784,0.4268225,0.3672065217391304,0.050809969503486,0.3514075067024128,0.0479390547793762,0.4918756936736958,0.1460866894721932,0.4634542916957432,0.1261414077515811,920,746,901,1433,"[[571, 132, 117, 180], [161, 258, 276, 305], [139, 216, 481, 164], [49, 140, 27, 784]]",0,RF (pixels)
