Blur,Contrast,hog,pca,accuracy,f1,precision,recall,f1_class_0,f1_class_1,f1_class_2,f1_class_3,avg_conf,avg_conf_class_0,avg_conf_class_1,avg_conf_class_2,avg_conf_class_3
0,1.5,False,True,0.25,0.1,0.0625,0.25,0.4,0.0,0.0,0.0,0.4711799999999999,0.4711799999999999,,,
0,1.75,False,True,0.25,0.1,0.0625,0.25,0.4,0.0,0.0,0.0,0.4714374999999999,0.4714374999999999,,,
0,2.0,False,True,0.25,0.1,0.0625,0.25,0.4,0.0,0.0,0.0,0.4717349999999999,0.4717349999999999,,,
1,1.25,False,True,0.25,0.1,0.0625,0.25,0.4,0.0,0.0,0.0,0.47076749999999984,0.47076749999999984,,,
1,1.5,False,True,0.25,0.1,0.0625,0.25,0.4,0.0,0.0,0.0,0.4711724999999999,0.4711724999999999,,,
1,1.75,False,True,0.25,0.1,0.0625,0.25,0.4,0.0,0.0,0.0,0.4714349999999999,0.4714349999999999,,,
1,2.0,False,True,0.25,0.1,0.0625,0.25,0.4,0.0,0.0,0.0,0.4717299999999999,0.4717299999999999,,,
3,1.25,False,True,0.25,0.1,0.0625,0.25,0.4,0.0,0.0,0.0,0.47064499999999987,0.47064499999999987,,,
3,1.5,False,True,0.25,0.1,0.0625,0.25,0.4,0.0,0.0,0.0,0.47103999999999985,0.47103999999999985,,,
3,1.75,False,True,0.25,0.1,0.0625,0.25,0.4,0.0,0.0,0.0,0.4712774999999998,0.4712774999999998,,,
3,2.0,False,True,0.25,0.1,0.0625,0.25,0.4,0.0,0.0,0.0,0.47158499999999987,0.47158499999999987,,,
5,1.25,False,True,0.25,0.1,0.0625,0.25,0.4,0.0,0.0,0.0,0.4705074999999998,0.4705074999999998,,,
5,1.5,False,True,0.25,0.1,0.0625,0.25,0.4,0.0,0.0,0.0,0.4708249999999998,0.4708249999999998,,,
5,1.75,False,True,0.25,0.1,0.0625,0.25,0.4,0.0,0.0,0.0,0.4710699999999999,0.4710699999999999,,,
5,2.0,False,True,0.25,0.1,0.0625,0.25,0.4,0.0,0.0,0.0,0.4712624999999998,0.4712624999999998,,,
7,1.25,False,True,0.25,0.1,0.0625,0.25,0.4,0.0,0.0,0.0,0.4703799999999999,0.4703799999999999,,,
7,1.5,False,True,0.25,0.1,0.0625,0.25,0.4,0.0,0.0,0.0,0.4705324999999998,0.4705324999999998,,,
7,1.75,False,True,0.25,0.1,0.0625,0.25,0.4,0.0,0.0,0.0,0.47075499999999987,0.47075499999999987,,,
7,2.0,False,True,0.25,0.1,0.0625,0.25,0.4,0.0,0.0,0.0,0.47090999999999983,0.47090999999999983,,,
10,1.25,False,True,0.25,0.1,0.0625,0.25,0.4,0.0,0.0,0.0,0.4701574999999998,0.4701574999999998,,,
10,1.5,False,True,0.25,0.1,0.0625,0.25,0.4,0.0,0.0,0.0,0.4702549999999998,0.4702549999999998,,,
10,1.75,False,True,0.25,0.1,0.0625,0.25,0.4,0.0,0.0,0.0,0.47032249999999975,0.47032249999999975,,,
