blur_size,noise_level,accuracy,f1,precision_class_immune,precision_class_other,precision_class_stromal,precision_class_tumour
0,0,0.60175,0.5601034127980990,0.6372854914196570,0.40718562874251500,0.5136804942630190,0.6970423661071140
1,0,0.60175,0.5601034127980990,0.6372854914196570,0.40718562874251500,0.5136804942630190,0.6970423661071140
3,0,0.497,0.43035728383506000,0.38326693227091600,0.4015151515151520,0.703030303030303,0.7208171206225680
5,0,0.384,0.2962080552946530,0.3050480024775470,0.4782608695652170,0.6,0.746875
7,0,0.308,0.19975297730966000,0.2726775956284150,0.2857142857142860,0.5789473684210530,0.711864406779661
9,0,0.2875,0.16915117104316700,0.2657621707901040,0.0,0.5526315789473690,0.6435643564356440
19,0,0.25775,0.11744690195271900,0.25505244308007200,0.0,0.45454545454545500,0.3625
0,0.05,0.2355,0.20987820723448400,0.19722425127830500,0.0,0.192090395480226,0.5207100591715980
1,0.05,0.2335,0.20776194898142200,0.19287833827893200,0.0,0.19232547387887200,0.5276073619631900
3,0.05,0.23625,0.21400517277618100,0.16412213740458000,0.0,0.1892292490118580,0.521021021021021
5,0.05,0.243,0.22120676352315600,0.14723467862481300,0.0,0.1917372881355930,0.5335917312661500
7,0.05,0.24775,0.22568045440956200,0.14648829431438100,0.0,0.18819875776397500,0.524022346368715
9,0.05,0.2475,0.22322267000287800,0.14823670053795600,0.0,0.18796992481203000,0.4934804413239720
19,0.05,0.18625,0.1438670527794820,0.1565784704603120,0.0,0.11746987951807200,0.30143014301430100
0,1,0.31375,0.2005725535230910,0.39515151515151500,0.0,0.2925984251968500,0.0
1,1,0.314,0.20049872912399900,0.3946406820950060,0.0,0.2932662051604780,0.0
3,1,0.325,0.2110637228549450,0.4226327944572750,0.0,0.2981168209383980,0.0
5,1,0.32075,0.20842503979820900,0.4220398593200470,0.0,0.2932952017794730,0.0
7,1,0.323,0.21086538344973200,0.4334511189634870,0.0,0.2934264845982850,0.0
9,1,0.3255,0.211973036697876,0.43431952662721900,0.0,0.29635499207607000,0.0
19,1,0.30275,0.1904739895031070,0.42971246006389800,0.0,0.2794423019875410,0.0
0,3,0.25125,0.10303628663003700,0.75,0.0,0.250250501002004,0.0
1,3,0.25125,0.10260523363622800,0.8333333333333330,0.0,0.25037556334501800,0.0
3,3,0.25075,0.10159263741353300,0.6,0.0,0.2503128911138920,0.0
5,3,0.251,0.10207209592375100,1.0,0.0,0.2502502502502500,0.0
7,3,0.2515,0.10356554693545500,0.7,0.0,0.2503759398496240,0.0
9,3,0.251,0.10209014985134400,0.8,0.0,0.2503128911138920,0.0
19,3,0.25,0.1,0.0,0.0,0.25,0.0
