augmentation,accuracy,f1_score,training_time
blur3,0.5110526315789473,0.5057459791234429,1.0220704078674316
blur5,0.5207894736842106,0.5134863637743157,0.969749927520752
blur7,0.5507894736842105,0.5455779429124901,1.004638671875
blur10,0.5523684210526316,0.5489248213652805,0.9531481266021729
blur1,0.508421052631579,0.5041243394301114,0.9061644077301025
